Label(A_A'_B_X),E_A1,E_A',E_P,E_K,E_H
Eu_Sn_Ni_S_,-4.605,-3.797,-69.086,-87.997,-64.357
Eu_Sn_Pd_O_,-4.605,-3.797,-81.449,-105.495,-76.049
Eu_Sn_Pd_Se_,-4.605,-3.797,-63.277,-80.106,-59.312
Eu_Sn_Pt_Te_,-4.605,-3.797,-59.01,-76.898,-56.205
Eu_Sn_Pt_Se_,-4.605,-3.797,-65.779,-81.885,-60.952
Eu_Sn_Rh_Te_,-4.605,-3.797,-62.2,-82.576,-59.681
Eu_Sn_Sb_O_,-4.605,-3.797,-79.172,-101.8,-70.194
Eu_Sn_Sc_O_,-4.605,-3.797,-96.867,-126.495,-95.036
Eu_Sn_Sc_S_,-4.605,-3.797,-80.414,-102.514,-75.695
Eu_Sn_Sm_Te_,-4.605,-3.797,-63.059,-80.67,-59.609
Eu_Sn_Sr_O_,-4.605,-3.797,-81.32,-103.777,-77.945
Eu_Sn_Sr_Te_,-4.605,-3.797,-55.872,-71.302,-52.578
Eu_Sn_Y_Te_,-4.605,-3.797,-68.044,-87.289,-64.558
Eu_Sn_Yb_Te_,-4.605,-3.797,-55.174,-70.23,-51.736
Eu_Sr_Ag_Se_,-4.605,-1.634,-56.919,-72.201,-52.866
Eu_Sr_As_Se_,-4.605,-1.634,-59.361,-74.959,-56.122
Eu_Sr_Ba_S_,-4.605,-1.634,-68.581,-88.6,-65.721
Eu_Sr_Co_S_,-4.605,-1.634,-72.037,-93.715,-68.378
Eu_Sr_Ga_Se_,-4.605,-1.634,-58.757,-74.451,-54.813
Eu_Sr_Ho_Te_,-4.605,-1.634,-61.851,-80.059,-59.439
Eu_Sr_In_O_,-4.605,-1.634,-70.789,-99.561,-66.905
Eu_Sr_Pt_S_,-4.605,-1.634,-70.841,-89.493,-66.831
Eu_Sr_Rb_S_,-4.605,-1.634,-63.398,-79.226,-58.135
Eu_Sr_Sb_S_,-4.605,-1.634,-63.095,-80.372,-60.082
Eu_Sr_Sc_O_,-4.605,-1.634,-96.867,-125.541,-91.735
Eu_Sr_Sn_S_,-4.605,-1.634,-64.464,-83.119,-61.168
Eu_Sr_Tl_Te_,-4.605,-1.634,-52.254,-65.943,-48.506
Eu_Sr_Tl_S_,-4.605,-1.634,-63.133,-79.437,-58.409
Eu_Tb_Ag_Se_,-4.605,-4.553,-56.919,-76.298,-56.9
Eu_Tb_Ba_S_,-4.605,-4.553,-68.581,-91.331,-68.486
Eu_Tb_Bi_O_,-4.605,-4.553,-79.486,-111.147,-72.301
Eu_Tb_Co_S_,-4.605,-4.553,-72.037,-96.011,-71.939
Eu_Tb_Cr_Se_,-4.605,-4.553,-73.378,-96.358,-72.051
Eu_Tb_La_O_,-4.605,-4.553,-92.361,-120.382,-92.182
Eu_Tb_Lu_S_,-4.605,-4.553,-75.416,-100.452,-75.309
Eu_Tb_Pr_Te_,-4.605,-4.553,-63.701,-84.775,-63.548
Eu_Tb_Rh_Te_,-4.605,-4.553,-62.2,-85.971,-62.075
Eu_Tb_Yb_O_,-4.605,-4.553,-84.368,-112.575,-84.407
Eu_Tl_Ag_Se_,-4.605,-2.269,-56.919,-69.205,-50.166
Eu_Tl_Ag_S_,-4.605,-2.269,-61.973,-75.344,-54.504
Eu_Tl_Al_Te_,-4.605,-2.269,-53.305,-66.541,-48.802
Eu_Tl_Co_S_,-4.605,-2.269,-72.037,-90.267,-66.098
Eu_Tl_Er_Te_,-4.605,-2.269,-61.588,-78.307,-57.761
Eu_Tl_Fe_Se_,-4.605,-2.269,-68.551,-87.451,-63.766
Eu_Tl_Hg_Se_,-4.605,-2.269,-48.558,-59.36,-42.574
Eu_Tl_Li_O_,-4.605,-2.269,-82.797,-100.769,-73.28
Eu_Tl_Pr_O_,-4.605,-2.269,-90.837,-115.279,-86.171
Eu_Tl_Sb_Te_,-4.605,-2.269,-53.385,-64.628,-47.998
Eu_Tl_Sc_O_,-4.605,-2.269,-96.867,-125.067,-92.531
Eu_Tl_Sn_Se_,-4.605,-2.269,-59.464,-74.514,-55.205
Eu_Tm_Cs_O_,-4.605,-4.472,-76.647,-102.744,-77.003
Eu_Tm_Er_Se_,-4.605,-4.472,-69.31,-91.946,-68.86
Eu_Tm_Hg_S_,-4.605,-4.472,-53.498,-70.432,-52.203
Eu_Tm_K_Se_,-4.605,-4.472,-58.995,-78.444,-58.786
Eu_Tm_La_Se_,-4.605,-4.472,-72.315,-96.022,-71.904
Eu_Tm_Li_Se_,-4.605,-4.472,-60.797,-80.929,-60.671
Eu_Tm_Mo_O_,-4.605,-4.472,-97.245,-129.96,-97.345
Eu_Tm_Ni_Te_,-4.605,-4.472,-57.663,-77.401,-56.57
Eu_Tm_Rb_S_,-4.605,-4.472,-63.398,-84.392,-63.258
Eu_Tm_Rh_Te_,-4.605,-4.472,-62.2,-85.673,-61.883
Eu_Tm_Tb_O_,-4.605,-4.472,-91.863,-121.096,-91.914
Eu_Tm_Y_Se_,-4.605,-4.472,-75.641,-100.408,-75.204
Eu_V_As_O_,-4.605,-8.955,-75.61,-110.443,-82.775
Eu_V_Cu_S_,-4.605,-8.955,-64.104,-87.841,-65.487
Eu_V_Dy_S_,-4.605,-8.955,-76.338,-102.322,-76.851
Eu_V_Hg_Se_,-4.605,-8.955,-48.558,-65.48,-49.52
Eu_V_K_Te_,-4.605,-8.955,-52.635,-69.7,-52.247
Eu_V_Lu_Te_,-4.605,-8.955,-60.772,-81.758,-61.45
Eu_V_Mo_Te_,-4.605,-8.955,-70.449,-95.852,-71.098
Eu_V_Mo_Se_,-4.605,-8.955,-76.587,-104.148,-77.497
Eu_V_Na_O_,-4.605,-8.955,-80.356,-106.187,-80.417
Eu_V_Na_Se_,-4.605,-8.955,-59.28,-78.519,-58.902
Eu_V_Pd_O_,-4.605,-8.955,-81.449,-112.797,-83.023
Eu_V_Pd_Te_,-4.605,-8.955,-57.66,-79.711,-59.748
Eu_V_Sb_Se_,-4.605,-8.955,-59.767,-81.9,-59.919
Eu_V_Tb_O_,-4.605,-8.955,-91.863,-121.953,-93.482
Eu_V_Y_O_,-4.605,-8.955,-97.659,-129.69,-99.318
Eu_Y_Ag_O_,-4.605,-6.427,-78.486,-105.273,-80.661
Eu_Y_Al_O_,-4.605,-6.427,-81.235,-111.103,-83.246
Eu_Y_Al_Se_,-4.605,-6.427,-58.979,-80.537,-60.87
Eu_Y_Ce_Se_,-4.605,-6.427,-70.98,-96.426,-72.754
Eu_Y_Er_Te_,-4.605,-6.427,-61.588,-83.83,-63.317
Eu_Y_Ga_Te_,-4.605,-6.427,-52.86,-72.321,-54.7
Eu_Y_Mo_O_,-4.605,-6.427,-97.245,-131.832,-99.254
Eu_Y_Na_O_,-4.605,-6.427,-80.356,-109.359,-82.558
Eu_Y_Na_Se_,-4.605,-6.427,-59.28,-80.943,-61.185
Eu_Y_Na_S_,-4.605,-6.427,-64.597,-88.088,-66.557
Eu_Y_Ni_S_,-4.605,-6.427,-69.086,-94.595,-70.297
Eu_Y_Pd_Se_,-4.605,-6.427,-63.277,-86.497,-65.333
Eu_Y_Sb_O_,-4.605,-6.427,-79.172,-111.111,-81.378
Eu_Y_Sr_Te_,-4.605,-6.427,-55.872,-76.234,-57.625
Eu_Y_Tl_Se_,-4.605,-6.427,-58.274,-79.576,-60.152
Eu_Yb_As_S_,-4.605,-1.468,-62.973,-80.907,-60.31
Eu_Yb_Ba_Te_,-4.605,-1.468,-57.023,-73.457,-54.413
Eu_Yb_Dy_S_,-4.605,-1.468,-76.338,-99.137,-73.713
Eu_Yb_Er_O_,-4.605,-1.468,-91.996,-118.993,-88.751
Eu_Yb_Er_S_,-4.605,-1.468,-75.982,-98.667,-73.367
Eu_Yb_Fe_Se_,-4.605,-1.468,-68.551,-88.79,-65.955
Eu_Yb_Ho_O_,-4.605,-1.468,-91.95,-118.99,-88.685
Eu_Yb_K_Te_,-4.605,-1.468,-52.635,-65.907,-48.355
Eu_Yb_Na_S_,-4.605,-1.468,-64.597,-80.978,-59.45
Eu_Yb_Pd_Se_,-4.605,-1.468,-63.277,-81.01,-60.168
Eu_Yb_Sc_Se_,-4.605,-1.468,-73.727,-95.732,-71.157
Eu_Yb_Sn_Te_,-4.605,-1.468,-53.681,-67.984,-50.257
Eu_Yb_Tl_O_,-4.605,-1.468,-78.072,-98.826,-72.747
Eu_Yb_Tl_S_,-4.605,-1.468,-63.133,-79.539,-58.459
Eu_Zr_Ag_O_,-4.605,-8.521,-78.486,-106.267,-81.777
Eu_Zr_As_O_,-4.605,-8.521,-75.61,-114.537,-84.238
Eu_Zr_Bi_O_,-4.605,-8.521,-79.486,-109.979,-75.573
Eu_Zr_Ca_Te_,-4.605,-8.521,-56.348,-77.152,-58.387
Eu_Zr_Cs_Se_,-4.605,-8.521,-58.133,-79.354,-60.006
Eu_Zr_La_O_,-4.605,-8.521,-92.361,-123.644,-95.398
Eu_Zr_La_Te_,-4.605,-8.521,-65.065,-88.836,-67.151
Eu_Zr_Li_O_,-4.605,-8.521,-82.797,-112.976,-85.463
Eu_Zr_Lu_Se_,-4.605,-8.521,-68.605,-93.731,-70.862
Eu_Zr_Mo_S_,-4.605,-8.521,-83.463,-114.51,-86.175
Eu_Zr_Na_O_,-4.605,-8.521,-80.356,-109.71,-82.963
Eu_Zr_Na_S_,-4.605,-8.521,-64.597,-88.333,-66.864
Eu_Zr_Pd_S_,-4.605,-8.521,-69.02,-95.073,-71.786
Eu_Zr_Rb_Te_,-4.605,-8.521,-52.179,-71.32,-53.959
Eu_Zr_Rb_S_,-4.605,-8.521,-63.398,-86.534,-65.444
Eu_Zr_Sc_Te_,-4.605,-8.521,-65.992,-90.128,-68.132
Eu_Zr_Yb_S_,-4.605,-8.521,-68.607,-93.96,-71.103
Fe_Ag_Co_O_,-8.161,-2.725,-84.161,-103.162,-78.113
Fe_Ag_Cu_O_,-8.161,-2.725,-73.144,-90.66,-65.033
Fe_Ag_Cu_S_,-8.161,-2.725,-61.586,-77.262,-56.339
Fe_Ag_La_O_,-8.161,-2.725,-90.3,-115.389,-86.54
Fe_Ag_Mo_O_,-8.161,-2.725,-99.0,-122.934,-93.367
Fe_Ag_Ni_S_,-8.161,-2.725,-66.518,-84.993,-59.855
Fe_Ag_Sb_Se_,-8.161,-2.725,-59.567,-72.111,-52.685
Fe_Ag_Tb_O_,-8.161,-2.725,-90.744,-114.507,-86.094
Fe_Ag_Tm_O_,-8.161,-2.725,-91.508,-115.057,-86.639
Fe_Ag_V_S_,-8.161,-2.725,-79.478,-103.98,-74.997
Fe_Ag_Yb_Te_,-8.161,-2.725,-54.335,-67.457,-49.373
Fe_Al_As_S_,-8.161,-3.738,-62.898,-84.473,-60.054
Fe_Al_Co_S_,-8.161,-3.738,-72.45,-94.408,-67.578
Fe_Al_Dy_S_,-8.161,-3.738,-74.778,-96.89,-71.418
Fe_Al_Gd_O_,-8.161,-3.738,-90.526,-118.211,-89.12
Fe_Al_Ho_S_,-8.161,-3.738,-74.694,-96.759,-71.355
Fe_Al_Li_O_,-8.161,-3.738,-78.318,-104.726,-70.914
Fe_Al_Lu_O_,-8.161,-3.738,-91.832,-119.204,-90.211
Fe_Al_Nd_O_,-8.161,-3.738,-89.23,-117.043,-87.983
Fe_Al_Sb_Se_,-8.161,-3.738,-59.567,-76.341,-54.412
Fe_Al_Sn_O_,-8.161,-3.738,-75.032,-101.482,-72.737
Fe_As_Cr_S_,-8.161,-4.581,-78.997,-102.929,-76.53
Fe_As_Cu_Se_,-8.161,-4.581,-57.04,-72.871,-53.221
Fe_As_Li_Te_,-8.161,-4.581,-52.744,-66.332,-49.141
Fe_As_Li_Se_,-8.161,-4.581,-57.312,-73.043,-54.105
Fe_As_Lu_S_,-8.161,-4.581,-74.316,-94.755,-70.841
Fe_As_Na_S_,-8.161,-4.581,-60.721,-77.252,-55.706
Fe_As_Rh_O_,-8.161,-4.581,-80.777,-107.348,-78.314
Fe_As_Sm_O_,-8.161,-4.581,-89.799,-115.28,-88.711
Fe_Ba_Ca_Te_,-8.161,-1.914,-55.364,-69.699,-51.717
Fe_Ba_Cu_S_,-8.161,-1.914,-61.586,-78.191,-58.138
Fe_Ba_Hg_O_,-8.161,-1.914,-64.038,-75.345,-55.514
Fe_Ba_Hg_Te_,-8.161,-1.914,-44.005,-53.1,-40.495
Fe_Ba_Rh_S_,-8.161,-1.914,-73.276,-92.238,-70.046
Fe_Bi_As_O_,-8.161,-3.743,-75.384,-97.382,-69.431
Fe_Bi_Ce_S_,-8.161,-3.743,-74.384,-94.902,-70.243
Fe_Bi_Er_Te_,-8.161,-3.743,-61.303,-78.86,-57.939
Fe_Bi_Gd_Se_,-8.161,-3.743,-68.496,-86.904,-64.642
Fe_Bi_La_S_,-8.161,-3.743,-75.871,-97.16,-71.793
Fe_Bi_Mo_S_,-8.161,-3.743,-83.38,-106.707,-80.513
Fe_Bi_Pt_O_,-8.161,-3.743,-78.129,-100.556,-70.107
Fe_Bi_Sm_O_,-8.161,-3.743,-89.799,-114.263,-86.697
Fe_Bi_Sn_O_,-8.161,-3.743,-75.032,-96.788,-71.93
Fe_Bi_Tl_O_,-8.161,-3.743,-70.815,-87.05,-62.3
Fe_Bi_Tm_Se_,-8.161,-3.743,-67.808,-85.921,-64.059
Fe_Ca_Ag_O_,-8.161,-1.918,-70.847,-91.875,-61.8
Fe_Ca_Ag_Se_,-8.161,-1.918,-54.681,-68.808,-51.81
Fe_Ca_Co_S_,-8.161,-1.918,-72.45,-93.341,-66.992
Fe_Ca_Ho_O_,-8.161,-1.918,-91.102,-118.082,-88.757
Fe_Ca_K_Se_,-8.161,-1.918,-44.501,-68.765,-50.735
Fe_Ca_Li_S_,-8.161,-1.918,-63.048,-79.616,-59.604
Fe_Ca_Ni_Te_,-8.161,-1.918,-57.509,-73.2,-55.191
Fe_Ca_Ni_S_,-8.161,-1.918,-66.518,-87.241,-65.077
Fe_Ca_Pt_Se_,-8.161,-1.918,-61.582,-81.447,-61.096
Fe_Ca_Sc_Se_,-8.161,-1.918,-72.34,-94.717,-69.767
Fe_Ca_Sm_S_,-8.161,-1.918,-74.817,-97.491,-72.033
Fe_Ca_Sn_S_,-8.161,-1.918,-63.82,-80.361,-60.465
Fe_Ca_Yb_Se_,-8.161,-1.918,-60.689,-77.868,-57.717
Fe_Ce_Ag_Se_,-8.161,-4.731,-54.681,-72.238,-55.282
Fe_Ce_Eu_Se_,-8.161,-4.731,-68.527,-90.339,-68.769
Fe_Ce_Na_Se_,-8.161,-4.731,-55.31,-73.296,-55.78
Fe_Ce_Pd_Se_,-8.161,-4.731,-61.157,-81.858,-62.916
Fe_Ce_Sb_O_,-8.161,-4.731,-73.928,-102.435,-75.815
Fe_Ce_Tl_S_,-8.161,-4.731,-59.293,-78.287,-59.497
Fe_Co_Cu_Se_,-8.161,-6.825,-57.04,-75.798,-56.576
Fe_Co_Cu_S_,-8.161,-6.825,-61.586,-83.336,-57.173
Fe_Co_Ho_O_,-8.161,-6.825,-91.102,-119.095,-90.194
Fe_Co_Li_S_,-8.161,-6.825,-63.048,-82.923,-62.444
Fe_Co_Ni_Te_,-8.161,-6.825,-57.509,-76.049,-57.112
Fe_Co_Ni_S_,-8.161,-6.825,-66.518,-90.927,-64.403
Fe_Co_Sr_Te_,-8.161,-6.825,-54.566,-71.696,-53.464
Fe_Cr_Bi_O_,-8.161,-9.494,-73.036,-101.115,-72.852
Fe_Cr_Ce_S_,-8.161,-9.494,-74.384,-101.06,-75.956
Fe_Cr_Eu_Te_,-8.161,-9.494,-62.142,-86.601,-63.426
Fe_Cr_In_Se_,-8.161,-9.494,-55.667,-74.91,-56.812
Fe_Cr_Rh_Se_,-8.161,-9.494,-67.365,-92.807,-69.822
Fe_Cr_Sn_S_,-8.161,-9.494,-63.82,-84.018,-65.396
Fe_Cr_V_Se_,-8.161,-9.494,-72.376,-101.808,-73.203
Fe_Cr_Y_Se_,-8.161,-9.494,-74.052,-101.294,-75.527
Fe_Cs_Ba_O_,-8.161,-0.831,-76.709,-93.956,-71.305
Fe_Cs_Co_O_,-8.161,-0.831,-84.161,-101.537,-75.137
Fe_Cs_Cr_O_,-8.161,-0.831,-95.928,-113.996,-86.111
Fe_Cs_Eu_O_,-8.161,-0.831,-90.162,-111.924,-85.05
Fe_Cs_Ga_S_,-8.161,-0.831,-61.115,-73.288,-54.026
Fe_Cs_Sb_S_,-8.161,-0.831,-63.099,-75.224,-56.555
Fe_Cs_V_Te_,-8.161,-0.831,-65.676,-84.856,-60.352
Fe_Cu_As_S_,-8.161,-3.73,-62.898,-80.79,-58.969
Fe_Cu_Cs_O_,-8.161,-3.73,-66.802,-84.159,-60.134
Fe_Cu_Ho_O_,-8.161,-3.73,-91.102,-116.322,-87.885
Fe_Cu_Pd_O_,-8.161,-3.73,-76.704,-97.521,-68.808
Fe_Cu_Yb_O_,-8.161,-3.73,-82.688,-103.672,-75.987
Fe_Cu_Yb_Se_,-8.161,-3.73,-60.689,-76.613,-56.36
Fe_Cu_Yb_S_,-8.161,-3.73,-67.046,-84.57,-62.188
Fe_Dy_Ag_Se_,-8.161,-4.528,-54.681,-72.65,-55.068
Fe_Dy_Eu_O_,-8.161,-4.528,-90.162,-120.092,-90.822
Fe_Dy_Gd_S_,-8.161,-4.528,-74.895,-100.128,-75.189
Fe_Dy_Pd_O_,-8.161,-4.528,-76.704,-103.896,-74.052
Fe_Dy_Sm_O_,-8.161,-4.528,-89.799,-119.83,-90.484
Fe_Dy_Sn_S_,-8.161,-4.528,-63.82,-84.43,-63.741
Fe_Dy_Tm_Te_,-8.161,-4.528,-61.071,-82.281,-61.101
Fe_Dy_Yb_S_,-8.161,-4.528,-67.046,-88.437,-66.173
Fe_Er_Al_Se_,-8.161,-4.492,-58.197,-77.62,-57.508
Fe_Er_Lu_Te_,-8.161,-4.492,-60.759,-81.731,-60.634
Fe_Er_Na_S_,-8.161,-4.492,-60.721,-80.818,-61.199
Fe_Er_Pt_Se_,-8.161,-4.492,-61.582,-84.539,-63.301
Fe_Er_V_O_,-8.161,-4.492,-97.75,-128.18,-97.432
Fe_Eu_Ag_S_,-8.161,-4.605,-59.349,-79.292,-59.987
Fe_Eu_Bi_S_,-8.161,-4.605,-62.983,-84.792,-62.85
Fe_Eu_K_O_,-8.161,-4.605,-71.191,-94.122,-70.49
Fe_Eu_Rh_Se_,-8.161,-4.605,-67.365,-90.294,-67.045
Fe_Eu_Tl_Se_,-8.161,-4.605,-54.633,-72.704,-55.036
Fe_Eu_Tm_Se_,-8.161,-4.605,-67.808,-90.665,-68.174
Fe_Eu_Yb_S_,-8.161,-4.605,-67.046,-88.268,-66.029
Fe_Ga_Ho_O_,-8.161,-2.923,-91.102,-115.106,-87.335
Fe_Ga_K_O_,-8.161,-2.923,-71.191,-89.788,-64.005
Fe_Ga_Pt_Te_,-8.161,-2.923,-60.346,-75.353,-56.644
Fe_Ga_Pt_S_,-8.161,-2.923,-65.892,-87.543,-64.946
Fe_Ga_Sr_O_,-8.161,-2.923,-77.143,-99.41,-74.906
Fe_Ga_Y_O_,-8.161,-2.923,-96.716,-123.063,-92.965
Fe_Ga_Yb_O_,-8.161,-2.923,-82.688,-104.555,-76.376
Fe_Gd_Ag_O_,-8.161,-4.584,-70.847,-96.161,-73.776
Fe_Gd_Al_S_,-8.161,-4.584,-64.119,-84.942,-62.905
Fe_Gd_Co_S_,-8.161,-4.584,-72.45,-96.463,-69.968
Fe_Gd_Cr_O_,-8.161,-4.584,-95.928,-124.913,-94.848
Fe_Gd_Cu_Te_,-8.161,-4.584,-52.891,-69.261,-52.645
Fe_Gd_K_O_,-8.161,-4.584,-71.191,-94.273,-67.24
Fe_Gd_Li_O_,-8.161,-4.584,-78.318,-104.657,-73.582
Fe_Gd_Mo_O_,-8.161,-4.584,-99.0,-129.499,-98.357
Fe_Gd_Na_Te_,-8.161,-4.584,-50.652,-66.824,-50.577
Fe_Gd_Ni_Te_,-8.161,-4.584,-57.509,-76.158,-57.784
Fe_Gd_Pr_O_,-8.161,-4.584,-88.862,-119.001,-89.515
Fe_Gd_Sn_S_,-8.161,-4.584,-63.82,-84.338,-63.77
Fe_Gd_Tl_O_,-8.161,-4.584,-70.815,-95.11,-71.604
Fe_Gd_Yb_S_,-8.161,-4.584,-67.046,-88.359,-66.11
Fe_Hg_Ag_S_,-8.161,-0.189,-59.349,-70.012,-49.151
Fe_Hg_Al_O_,-8.161,-0.189,-87.281,-103.342,-78.364
Fe_Hg_Cr_S_,-8.161,-0.189,-78.997,-98.985,-71.594
Fe_Hg_Er_O_,-8.161,-0.189,-91.278,-111.148,-83.328
Fe_Hg_Li_Se_,-8.161,-0.189,-57.312,-67.436,-48.982
Fe_Hg_V_O_,-8.161,-0.189,-97.75,-118.186,-89.8
Fe_Ho_Cs_O_,-8.161,-4.508,-66.802,-91.674,-69.422
Fe_Ho_Dy_S_,-8.161,-4.508,-74.778,-99.903,-75.021
Fe_Ho_Ga_Te_,-8.161,-4.508,-51.905,-68.352,-51.331
Fe_Ho_Gd_S_,-8.161,-4.508,-74.895,-100.122,-75.18
Fe_Ho_Li_Te_,-8.161,-4.508,-52.744,-69.117,-52.214
Fe_Ho_Li_Se_,-8.161,-4.508,-57.312,-76.511,-57.977
Fe_Ho_Sb_O_,-8.161,-4.508,-73.928,-103.318,-71.559
Fe_Ho_Sm_S_,-8.161,-4.508,-74.817,-100.071,-75.143
Fe_Ho_Tb_Se_,-8.161,-4.508,-68.173,-91.499,-68.726
Fe_Ho_Yb_S_,-8.161,-4.508,-67.046,-88.463,-66.193
Fe_Ho_Zr_Se_,-8.161,-4.508,-75.081,-103.964,-77.073
Fe_In_Ag_Te_,-8.161,-2.574,-50.832,-61.81,-45.994
Fe_In_Co_S_,-8.161,-2.574,-72.45,-92.195,-66.145
Fe_In_Pd_Se_,-8.161,-2.574,-61.157,-78.228,-57.432
Fe_In_Pd_S_,-8.161,-2.574,-65.82,-83.978,-58.127
Fe_In_Sn_O_,-8.161,-2.574,-75.032,-96.858,-70.788
Fe_In_Sr_O_,-8.161,-2.574,-77.143,-98.302,-73.741
Fe_In_Tl_O_,-8.161,-2.574,-70.815,-88.466,-61.431
Fe_K_Co_Te_,-8.161,-1.033,-60.951,-77.241,-56.365
Fe_K_Mo_S_,-8.161,-1.033,-83.38,-105.974,-76.921
Fe_K_Pt_S_,-8.161,-1.033,-65.892,-84.807,-62.917
Fe_K_Sn_S_,-8.161,-1.033,-63.82,-77.253,-57.851
Fe_La_Al_O_,-8.161,-4.876,-87.281,-112.11,-86.893
Fe_La_As_O_,-8.161,-4.876,-75.384,-104.4,-76.76
Fe_La_Bi_O_,-8.161,-4.876,-73.036,-101.632,-76.001
Fe_La_Li_S_,-8.161,-4.876,-63.048,-83.373,-63.564
Fe_La_Na_S_,-8.161,-4.876,-60.721,-80.427,-61.264
Fe_La_Sc_S_,-8.161,-4.876,-79.315,-105.624,-79.345
Fe_La_Sn_S_,-8.161,-4.876,-63.82,-84.438,-64.209
Fe_La_Y_Se_,-8.161,-4.876,-74.052,-98.808,-74.786
Fe_Li_Ag_S_,-8.161,-1.916,-59.349,-74.069,-54.153
Fe_Li_Al_Se_,-8.161,-1.916,-58.197,-74.624,-54.934
Fe_Li_Cs_O_,-8.161,-1.916,-66.802,-84.2,-64.792
Fe_Li_Dy_O_,-8.161,-1.916,-90.93,-117.448,-88.004
Fe_Li_Dy_S_,-8.161,-1.916,-74.778,-96.201,-71.195
Fe_Li_Eu_S_,-8.161,-1.916,-74.833,-96.2,-71.222
Fe_Li_Ga_O_,-8.161,-1.916,-75.547,-94.669,-71.501
Fe_Li_Ga_S_,-8.161,-1.916,-61.115,-77.401,-56.982
Fe_Li_Gd_S_,-8.161,-1.916,-74.895,-96.3,-71.286
Fe_Li_Na_S_,-8.161,-1.916,-60.721,-74.739,-53.757
Fe_Li_Ni_Se_,-8.161,-1.916,-61.094,-80.421,-57.738
Fe_Li_Pd_S_,-8.161,-1.916,-65.82,-85.57,-62.197
Fe_Li_Zr_S_,-8.161,-1.916,-82.021,-110.956,-80.749
Fe_Lu_Ag_Se_,-8.161,-4.45,-54.681,-72.629,-54.84
Fe_Lu_Ag_S_,-8.161,-4.45,-59.349,-79.711,-60.604
Fe_Lu_As_O_,-8.161,-4.45,-75.384,-104.352,-73.656
Fe_Lu_Ho_S_,-8.161,-4.45,-74.694,-99.726,-74.855
Fe_Lu_Li_Te_,-8.161,-4.45,-52.744,-69.032,-52.047
Fe_Lu_Sr_S_,-8.161,-4.45,-65.419,-86.718,-65.005
Fe_Lu_Tl_O_,-8.161,-4.45,-70.815,-95.745,-66.734
Fe_Lu_Tl_S_,-8.161,-4.45,-59.293,-79.027,-59.182
Fe_Lu_Zr_Se_,-8.161,-4.45,-75.081,-104.053,-76.982
Fe_Mo_As_Te_,-8.161,-10.968,-55.863,-77.5,-58.487
Fe_Mo_Co_S_,-8.161,-10.968,-72.45,-100.728,-72.539
Fe_Mo_Ga_O_,-8.161,-10.968,-75.547,-99.283,-78.926
Fe_Mo_Ga_S_,-8.161,-10.968,-61.115,-83.784,-64.381
Fe_Mo_Nd_O_,-8.161,-10.968,-89.23,-120.757,-92.364
Fe_Mo_Pd_O_,-8.161,-10.968,-76.704,-110.354,-76.781
Fe_Mo_Pd_S_,-8.161,-10.968,-65.82,-93.134,-70.047
Fe_Mo_Rh_S_,-8.161,-10.968,-73.276,-101.13,-72.992
Fe_Mo_Sb_O_,-8.161,-10.968,-73.928,-104.648,-75.51
Fe_Mo_V_S_,-8.161,-10.968,-79.478,-112.842,-82.12
Fe_Na_Co_O_,-8.161,-1.319,-84.161,-105.376,-77.511
Fe_Na_Co_Te_,-8.161,-1.319,-60.951,-78.984,-56.123
Fe_Na_Yb_S_,-8.161,-1.319,-67.046,-83.481,-61.148
Fe_Nd_Co_Se_,-8.161,-4.705,-65.975,-88.346,-66.217
Fe_Nd_Cr_S_,-8.161,-4.705,-78.997,-107.059,-78.281
Fe_Nd_Er_S_,-8.161,-4.705,-74.465,-99.474,-74.621
Fe_Nd_Eu_O_,-8.161,-4.705,-90.162,-119.748,-90.547
Fe_Nd_In_Se_,-8.161,-4.705,-55.667,-73.579,-55.257
Fe_Nd_Lu_S_,-8.161,-4.705,-74.316,-99.002,-74.264
Fe_Nd_Sm_O_,-8.161,-4.705,-89.799,-119.471,-90.213
Fe_Nd_Sn_Se_,-8.161,-4.705,-58.925,-77.541,-58.738
Fe_Nd_Tm_Se_,-8.161,-4.705,-67.808,-90.124,-68.126
Fe_Nd_Zr_Se_,-8.161,-4.705,-75.081,-103.402,-76.948
Fe_Ni_Co_O_,-8.161,-5.386,-84.161,-106.79,-81.952
Fe_Ni_Cu_S_,-8.161,-5.386,-61.586,-81.501,-59.495
Fe_Ni_Ga_S_,-8.161,-5.386,-61.115,-79.028,-56.66
Fe_Ni_Mo_O_,-8.161,-5.386,-99.0,-126.181,-96.792
Fe_Ni_Pt_O_,-8.161,-5.386,-78.129,-103.624,-70.583
Fe_Ni_Pt_Se_,-8.161,-5.386,-61.582,-83.247,-61.756
Fe_Pd_Ag_S_,-8.161,-5.227,-59.349,-76.957,-55.984
Fe_Pd_Co_S_,-8.161,-5.227,-72.45,-94.659,-68.799
Fe_Pd_Cu_S_,-8.161,-5.227,-61.586,-80.956,-58.688
Fe_Pd_Ga_Se_,-8.161,-5.227,-56.158,-72.528,-53.943
Fe_Pd_In_Te_,-8.161,-5.227,-51.188,-66.382,-49.414
Fe_Pd_Lu_S_,-8.161,-5.227,-74.316,-97.138,-72.468
Fe_Pd_Na_O_,-8.161,-5.227,-74.717,-92.321,-65.385
Fe_Pd_Pt_Se_,-8.161,-5.227,-61.582,-83.413,-61.18
